id,name,city,address,booking_url,detected_sports
999ed2bc-3c80-45b7-aa0b-abd3e7700245,"Banksia Centre (Camp Banksia)","Port Sorell","1 Anderson Street, Port Sorell TAS 7307","https://www.banksiaportsorell.com/availability",[]
defbb381-3272-404b-a425-cf1cff609553,"Huon Valley PCYC","40 Wilmot Rd","40 Wilmot Rd, Huonville TAS 7109","https://www.hobartpcyc.org.au/huon-valley-pcyc-book-online",[]
9639b14c-06b2-4518-9039-4b640b214c62,"Mount Pleasant Squash Club","Christchurch","Christchurch, New Zealand","https://www.mtpleasantsquash.co.nz/casual",["squash"]
53e9c6fd-8aa8-4c08-9679-f818ba84044d,"Netball North Harbour","Auckland","Auckland, New Zealand","https://prodcdn.sporty.co.nz/cms/16565/favicon.png",[]
5f810ecc-35a4-4941-9465-5cfdc1e456d0,"Muay Thai Institute","Wellington","6 College Street, Wellington, 6011","https://maps.app.goo.gl/v7v6gogncti779eo9",[]
d8ee0ac1-211b-4764-bbc3-94669ab15958,"Ngā Puna Wai Sports Hub","Christchurch","Christchurch, New Zealand","https://www.sporty.co.nz/sissjuniornetball/home?em=0",[]
7cb93a62-992d-479e-a0ec-a0a05b28bbb1,"Northern Rocks","Auckland","111 Diana Drive","https://scontent-syd2-1.cdninstagram.com/v/t51.82787-15/516336631_18330584836207429_7431559459870355080_n.jpg?stp=dst-jpg_e35_tt6",[]
3be8c4d0-bdaf-486b-b338-696390095ad9,"Mount Maunganui Sports Centre","2 Hull Road","2 Hull Road, Mount Maunganui","https://www.bayvenues.co.nz/assets/downloadables/terms-and-conditions-of-hire.pdf",[]
18c0e28b-16e6-4d51-865a-48393767376f,"Olympia Gymnastic Sports","Christchurch","Christchurch, New Zealand","https://gnz.friendlymanager.com/login?forgot=1&club=olympiagymnastics",[]
5eed540f-e262-4e7a-80c8-17a8d36b1ac9,"Millennium Institute of Sport","Auckland","17 Antares Place, Auckland","https://facebook.com/autmillennium",[]
1aa54cdd-9370-47ce-a7e8-aa622e14f974,"New Lynn Bowls","Auckland","Auckland, New Zealand","https://newlynnbowls.co.nz/facilities",[]
a8bbf7ae-fa19-4cfd-9b69-b8e60cdef0d2,"Padel Brisbane","200 Settlement Rd","200 Settlement Rd, The Gap QLD 4061","https://padelbrisbane.co/book-a-court",[]
a08ea2d7-f0f0-44a9-92a4-a5c24437fbe0,"Pickleball Palace","2 Attercliffe Ave","2 Attercliffe Ave, Pascoe Vale VIC","https://pickleballpalace.com.au",["pickleball","swimming","gym"]
a0451af5-b13e-46d7-a279-14f3f1d4b69e,"Onehunga War Memorial Pool","Auckland","1 Park Gardens, Onehunga, Auckland, 1061","https://www.ymcanorth.org.nz/programmes-listing/venue-hire",["soccer","netball","swimming","basketball","gym"]
86e7f46b-02a2-4ebf-b172-e94f169163bc,"Point Erin Pool","Auckland","Auckland, New Zealand","https://www.clmnz.co.nz/pt-erin-pool/bookings",["swimming","basketball"]
29a360d4-7d8d-4e18-afd0-3673ab9e6f74,"PicklePlay (Bentleigh East)","1 South Drive (Kingston Centre)","1 South Drive (Kingston Centre), Bentleigh East VIC","https://www.pickleplay.com.au",["tennis","pickleball","badminton","gym"]
8a910897-623d-42d9-bc73-f61b8e35114b,"Ocean Spa","Napier","Napier, New Zealand","https://www.facebook.com/oceanspanapier",["swimming"]
b9f8f6e2-d590-46fb-8df9-749c2dcc2d4f,"Pukekohe Park","Auckland","Auckland, New Zealand","https://www.pukekohepark.co.nz",[]
77117e8e-85b8-4725-a1cd-53ff8c2bf55d,"Richmond Aquatic Centre","Nelson","Nelson, New Zealand","https://www.clmnz.co.nz/richmond/bookings",["swimming","gym"]
0be17190-ce15-4f9d-b162-00a9ef56990b,"Pole Artistry","Nelson","120 Hardy Street, Nelson, Nelson, 7011","https://poleartistry.gymmasteronline.com/portal/account/classcalendar",["gym"]
5a9b63c4-9c0e-4863-b25e-ac2a7e46be7c,"Ritual","Auckland","Auckland, New Zealand","https://www.facebook.com/ritualnz",[]
aeb9fc7c-7ae7-4392-a286-e0f03f7b194f,"Seido Karate","Christchurch","174 Barbadoes Street, Christchurch Central, Christchurch, 8011","https://www.trybooking.com/nz/vyx",[]
08ccc576-8cd4-4c98-a2df-1ca589103c20,"Paradice Ice Skating","Golflands","490 Ti Rakau Drive, Golflands","https://www.paradice.co.nz/book",["golf"]
430cdfa6-65cc-41e3-b1b3-98dd1c5707d5,"Queenstown Indoor Climbing","Queenstown","Queenstown, New Zealand","https://www.basecampadventures.co.nz/book-outdoor-climbing-clip-n-climb",[]
c48b0c8b-5071-46da-84fc-2e1405c10999,"Sherburd Oval","1 Brightwater Rd","1 Brightwater Rd, Blackmans Bay TAS 7052","https://www.kingborough.tas.gov.au/wp-content/uploads/2021/09/casual-sports-ground-usage-application-form.pdf",[]
7b096298-e464-4c51-92e2-3daa60727b58,"Resistance Climbing","Dunedin","Moray Place, Dunedin","https://www.resistanceclimbing.co.nz/booking",[]
80493b05-3ffc-418a-8a44-fedfef20bec9,"Shotokan Karate-do","Auckland","13 Pūriri Street","https://shotokantimes.com/2019/08/15/hirokazu-kanazawa-the-life-of-a-shotokan-legend",[]
67e76c62-4128-4b5d-948c-416846c37443,"Skatescool Tauranga","Tauranga","2 Roxanne Place, Poike, Tauranga, 3112","https://www.facebook.com/skatescooltauranga",[]
bdb1268f-3035-4205-82b7-461ae0ccd53d,"Skate Nelson","Nelson","Nelson, New Zealand","http://www.skatenelson.nz/parties-private-hires-nelson.html",[]
366f290d-0e04-40ba-8c23-0bd67d6a74e0,"South Hobart Oval","6 Washington St","6 Washington St, South Hobart TAS 7004","https://www.hobartcity.com.au/community/parks-sportsgrounds-and-reserves/sportsgrounds/sportsground-bookings",["netball"]
0468435e-9625-4902-b610-051ea9abd816,"Skateland","Auckland","Auckland, New Zealand","https://www.skateland.co.nz/contact-us",["gym"]
30702eae-f40b-48bd-a56f-5842a024fe9f,"Royal Pickle (Carrum Downs)","16/684–700 Frankston–Dandenong Rd","16/684–700 Frankston–Dandenong Rd, Carrum Downs VIC","https://royalpickle.com.au",["tennis","pickleball","badminton"]
7a334ccb-ad31-4b3b-bffa-b21f03630f9e,"Snowplanet","Silverdale","91 Small Road, Silverdale","https://bookings.snowplanet.co.nz/book",[]
32c2442a-3f3a-40b2-8c24-c79fe1cecd3c,"SonSk8","Auckland","Auckland, New Zealand","https://www.sonsk8.co.nz/private-hire",[]
ee9a8d41-adf5-46db-82a4-8a582e5b5054,"Supa Karts","Christchurch","Christchurch, New Zealand","https://www.facebook.com/supakartschch",[]
3c2ecafa-b911-4d40-8955-14ad4b7d76df,"Swimgym Howick","Auckland","2/1 Fencible Drive, Auckland, 2014","https://www.swimgym.org.nz/form",["swimming"]
1eed619b-fa15-4505-bed5-8284ec9e2190,"Southland Cricket Indoor Facility","Invercargill","Gala Street, 9810","https://www.southlandcricket.co.nz/facility-hire",["cricket"]
81a009b7-2071-4aac-8630-d3e062036984,"Tauranga Bridge Club","252 Ngatai Road","252 Ngatai Road, Otūmoetai","https://taurangabridge.helloclub.com",[]
abab05a7-7179-4757-91af-7e9e6f2cc836,"Tawa Pool","Wellington","Wellington, New Zealand","https://wellington.govt.nz/recreation/facilities-and-centres/swimming-pools/pool-rules-and-safety",["swimming","gym"]
20a31e4d-a057-43c6-8bec-9daa78771a62,"Tepid Baths","auckland","100 Customs Street West, auckland, 1010","https://www.aucklandleisure.co.nz/css/leisurestyle.css",[]
8c31c941-f666-4775-bfbc-09202521b389,"Swimtastic","Auckland","Auckland, New Zealand","https://www.swimtastic.co.nz/booking-portal-how-to-use",["swimming"]
4b064b45-3e40-442b-b085-990a946ebdb9,"Swing & Serve","906 Plenty Rd (Bundoora Park)","906 Plenty Rd (Bundoora Park), Bundoora VIC","https://swingandserve.com.au",["pickleball","golf","gym"]
26df2961-8fc2-47ee-9872-0e3cbe3ab033,"The Gravity Well","Nelson","Nelson, New Zealand","https://thegravitywell.gymmasteronline.com/portal/enquiry?session=eyJjb250ZXh0X2NvbXBhbnlpZCI6MiwibGFuZ3VhZ2UiOiJlbl9HQiIsImlwX2FkZHIiOiIxMjEuOTguMjI4LjIxIn0.ZMtLJg.vVoxMsekjkhHLB-clE99rk4oN5g",["gym"]
c47f43e0-9f80-4ede-aa23-c7bc129042fc,"Te Pai Centre","Henderson","31-35 Te Pai Place, Henderson","https://www.tepaicentre.co.nz/blank-2",["netball"]
73cfb93d-45f6-47e9-b3d5-e0710d60152e,"The Remarkables Ski Area","Queenstown","Queenstown, New Zealand","https://shop.theremarkables.co.nz/shop/product/336",[]
f51c8913-34cf-4f08-ae81-9f08e8e9427f,"The Jar – South Melbourne","29 White St","29 White St, South Melbourne VIC","https://thejarpickleball.com.au",[]
a4f27f32-905e-4454-9144-33cfce45e7b4,"Todd Energy Aquatic Centre","New Plymouth","8-10 Tisch Avenue, New Plymouth","https://www.npdc.govt.nz/todd-energy-aquatic-centre/facilities/book",["swimming","gym"]
eca7f47e-c626-4277-9871-95575cc23d08,"Ultimate Soccer (Fairfield)","46–48 Smithfield Rd","46–48 Smithfield Rd, Prairiewood NSW 2176","https://ultimatesoccer.com.au/book-a-pitch",["soccer"]
9f543f87-8217-4348-8582-b6da03af6600,"Synergy Sports","Auckland","44 Portage Road","https://synergysports.co.nz/booking",["tennis","badminton","netball","basketball"]
01585553-f494-466d-a246-012c4f8da59b,"The UMMA Trust - Muslim Youth","Auckland","1025","https://www.facebook.com/theummatrust",[]
fed3e8ab-0a76-476a-b300-9f1b681b59c8,"The Peak","Hamilton","60 Kimbrae Drive, 3210","https://rototunarec.skedda.com/booking",[]
e40345ac-6fd0-49e7-8063-6c979521450d,"Waiheke Bowling Club","Auckland","Auckland, New Zealand","https://waihekebowlingclub.co.nz",[]
95a3c9c0-35d8-4637-bd5b-c6f5af49bbb6,"Waitemata Rugby Football Club","Auckland","Auckland, New Zealand","https://prodcdn.sporty.co.nz/cms/14713/favicon.png",[]
41e20646-003e-430b-91e0-32c81f30416e,"Wanderers Fives (Rooty Hill)","55 Francis Rd","55 Francis Rd, Rooty Hill NSW 2766","https://wanderersfives.com.au/pitch-hire",[]
afbba9d5-0587-4b44-a3f5-979963e212cd,"The Football Centre","Osborne Park","Osborne Park, Perth WA","https://footballcentre.com.au/group-bookings",["soccer","gym"]
cc01ef65-851d-45a2-834b-165aaaf3d163,"Wentworth Park Sportsgrounds","Clarence St","Clarence St, Howrah TAS 7018","https://www.ccc.tas.gov.au/explore/sportsgrounds-for-hire",["soccer","swimming","cricket"]
dbe1e925-113f-48f0-a845-89d332836d55,"Wharenui Sports Centre","Christchurch","73 Elizabeth Street, Christchurch, 8041","https://wharenuisc.friendlymanager.com/login",[]
2b940116-45b3-4ee6-ba63-c7c229169597,"Waterhole Swimming Centre","Auckland","Auckland, New Zealand","https://waterholeswimcentre.kiwi/book-online",[]
e229533a-806f-4a76-abd8-5e27b3d23ae5,"Y Adventure Centre","Christchurch","239 Waltham Road, Sydenham, Christchurch, 8023","https://ymcachch.org.nz/fitness-and-climbing/adventurecentre",["gym"]
cabfab25-113f-4a71-8da7-e7e7ad6e13a9,"Woodhill Mountain Bike Park","Auckland","Auckland, New Zealand","https://www.bikeparks.co.nz/bike-hire",["golf"]
9f269ffe-53f1-4829-aa84-782f06a1c9e4,"Vertical Adventures","Auckland","Auckland, New Zealand","https://verticaladventures.co.nz/booking",[]
f591b16f-a813-4de3-9562-b26975a88cc5,"Waikato Equestrian Centre","Hamilton","1340 Pukete Road, 3288","https://horses.net.nz/index.php/the-venue",[]
