id,name,address,current_city,here_suburb,here_city,here_state,here_postal,here_country_code,proposed_city
cda847af-78a8-4245-ad94-eb76262ab62e,"Roseville Park – Clanville Rd Courts (KRG)","60A Clanville Rd, Roseville NSW 2069","60A Clanville Rd","Roseville","Sydney","NSW","2069","AUS","Roseville"
46c9ff8b-93b9-4f28-8ba8-9042fc078a87,"Rosny Park Tennis Club","18 Bastick St, Rosny Park TAS 7018","18 Bastick St","Rosny Park","Hobart","TAS","7018","AUS","Rosny Park"
1a1f9102-5ab0-431f-96df-cff17e280d2e,"Roy Emerson Tennis Centre","315 Milton Rd, Milton QLD 4064","315 Milton Rd","Milton","Brisbane","QLD","4064","AUS","Milton"
75510a8b-3af0-4925-bbf1-f83abd279d67,"Royal Park Tennis Club","Cnr The Avenue & Park St, Parkville VIC 3052","Cnr The Avenue & Park St","Parkville","Melbourne","VIC","3052","AUS","Parkville"
1ed744a6-d49e-4170-a05b-8d4987b59c42,"Royal Park Tennis Club","333 The Avenue (cnr Park St), Parkville VIC 3052","333 The Avenue (cnr Park St)","Parkville","Melbourne","VIC","3052","AUS","Parkville"
30702eae-f40b-48bd-a56f-5842a024fe9f,"Royal Pickle (Carrum Downs)","16/684–700 Frankston–Dandenong Rd, Carrum Downs VIC","16/684–700 Frankston–Dandenong Rd","Carrum Downs","Melbourne","VIC","3201","AUS","Carrum Downs"
5d73973c-dbee-485d-a84e-7ebb499b6bd0,"Royal Rehab Ryde – Sports Courts","235 Morrison Rd, Ryde NSW 2112","235 Morrison Rd","Ryde","Sydney","NSW","2112","AUS","Ryde"
c4cfecf6-f117-4e48-943b-9d801c2173b4,"Rushcutters Bay Park Tennis Courts","Waratah Ave, Rushcutters Bay NSW 2011","Waratah Ave","Darlinghurst","Sydney","NSW","2010","AUS","Darlinghurst"
52b7fb74-b407-4c20-8940-c1e28f8e6d45,"Ryde Indoor Sports Centre – Pickleball","913 Victoria Rd, West Ryde NSW 2114","913 Victoria Rd","West Ryde","Sydney","NSW","2114","AUS","West Ryde"
17f95d20-0f68-4cc7-b75f-93735fc74ec4,"Ryde Tennis Centre","Corner Karen Moras Dr, Potts & Weaver Sts, Ryde NSW 2112","Potts & Weaver Sts","Ryde","Sydney","NSW","2112","AUS","Ryde"
b6477bb5-cfb8-4fed-aa4c-716a40ed7a05,"Sandgate Tennis Centre","83 Board St, Deagon QLD 4017","83 Board St","Deagon","Brisbane","QLD","4017","AUS","Deagon"
a076ae16-1022-48c2-a24f-d99cedded200,"Scarborough Park Sports Centre – Pickleball","7 Hawthorne St, Ramsgate Beach NSW 2217","7 Hawthorne St","Ramsgate Beach","Sydney","NSW","2217","AUS","Ramsgate Beach"
7f31f8bb-44c4-4577-b648-8c5e707758c9,"Shaw Park Tennis Centre","128 Shaw Rd, Wooloowin QLD 4030","128 Shaw Rd","Kalinga","Brisbane","QLD","4030","AUS","Kalinga"
c48b0c8b-5071-46da-84fc-2e1405c10999,"Sherburd Oval","1 Brightwater Rd, Blackmans Bay TAS 7052","1 Brightwater Rd","Blackmans Bay","Blackmans Bay","TAS","7052","AUS","Blackmans Bay"
366f290d-0e04-40ba-8c23-0bd67d6a74e0,"South Hobart Oval","6 Washington St, South Hobart TAS 7004","6 Washington St","South Hobart","Hobart","TAS","7004","AUS","South Hobart"
8166af38-61d5-4e5c-b787-af8bf8b2343d,"South Perth Tennis Centre","107 Murray Street, Como WA 6152","107 Murray Street","Como","Perth","WA","6152","AUS","Como"
4a0d4504-ebbc-45d9-aa87-4ff9b4176308,"South Pine Indoor Sports Centre (Brendale)","620 South Pine Rd, Brendale QLD 4500","620 South Pine Rd","Eatons Hill","Brisbane","QLD","4037","AUS","Eatons Hill"
c801b3e7-b0c4-409b-85fd-814b26a840b9,"Sports Parc (Alexandria) – Pickleball","75 O’Riordan St, Alexandria NSW 2015","75 O’Riordan St","Alexandria","Sydney","NSW","2015","AUS","Alexandria"
4fcf5494-9faf-410a-9373-01e5f38ae5cb,"Spring Hill Tennis Centre","400 Gregory Terrace, Spring Hill QLD 4000","400 Gregory Terrace","Spring Hill","Brisbane","QLD","4000","AUS","Spring Hill"
7daaec82-0b87-4612-81e9-2223f17894cc,"Springvale Indoor Sports Centre","546 Springvale Rd, Springvale VIC","546 Springvale Rd","Springvale South","Melbourne","VIC","3172","AUS","Springvale South"
a8dca275-39c3-4465-b041-7ccb9a643225,"St Albans East Tennis Club","Corner Main Rd East & Percy St (Errington Reserve), St Albans VIC","St Albans","St Albans","Melbourne","VIC","3021","AUS","St Albans"
0510eef2-e842-466f-a913-e634c2637663,"St Ives Village Green Courts (KRG)","Memorial Ave, St Ives NSW 2075","Memorial Ave","St Ives","Sydney","NSW","2075","AUS","St Ives"
6abcadb6-8193-4fb2-b577-f58fa6a41047,"St Mary's Tennis Club (Geelong)","Thomson Recreation Reserve, Godfrey St, Thomson VIC 3219","Godfrey St","Thomson","Geelong","VIC","3219","AUS","Thomson"
85db6065-3926-4174-a29e-7c9295da23e4,"St Mary’s Tennis Club (Geelong)","18-20 Little Myers St, Geelong VIC 3220","18-20 Little Myers St","Geelong","Geelong","VIC","3220","AUS","Geelong"
3be99320-6ca9-4b8b-a1aa-1eb649f20609,"State Tennis Centre","282 Victoria Park Drive, Burswood WA 6100","282 Victoria Park Drive","Burswood","Perth","WA","6100","AUS","Burswood"
b398d6d0-3270-471f-ab7f-9de0bc86ca27,"Strathfield Sports Club Tennis","11 Florence Street, Strathfield NSW 2135","Strathfield","Strathfield","Sydney","NSW","2135","AUS","Strathfield"
a3a883d6-ceee-49b4-986d-44cd11a7050d,"Sunshine Tennis Club (Howrah)","11A Howrah Rd, Howrah TAS 7018","11A Howrah Rd","Howrah","Hobart","TAS","7018","AUS","Howrah"
a2ce9350-f5b1-43d5-9307-13a61e5f31ab,"Super Futsal (Acacia Ridge)","1391 Beaudesert Rd, Acacia Ridge QLD 4110","1391 Beaudesert Rd","Acacia Ridge","Brisbane","QLD","4110","AUS","Acacia Ridge"
64339bcc-0d56-410d-b1e9-7ff0e9fd2bfb,"Super Futsal (Carina)","150 Fursden Rd, Carina QLD 4152","150 Fursden Rd","Carina","Brisbane","QLD","4152","AUS","Carina"
4b064b45-3e40-442b-b085-990a946ebdb9,"Swing & Serve","906 Plenty Rd (Bundoora Park), Bundoora VIC","906 Plenty Rd (Bundoora Park)","Bundoora","Melbourne","VIC","3083","AUS","Bundoora"
7682b738-a032-4b0d-b91e-ac16005cf02f,"Sydney Football Centre (Olympic Park)","Sydney Olympic Park NSW 2127","Sydney Olympic Park NSW 2127","Sydney Olympic Park","Sydney","NSW","2127","AUS","Sydney Olympic Park"
dc2171a1-0a82-4cf2-af08-56c07c835d84,"Sydney Olympic Park Sports Halls","Olympic Blvd, Sydney Olympic Park NSW 2127","Olympic Blvd","Sydney Olympic Park","Sydney","NSW","2127","AUS","Sydney Olympic Park"
f29e91ea-8e6f-4460-bf73-f143c8bd7503,"Sydney Racquet Club (Moore Park / EQ)","17 Park Rd North, Moore Park NSW 2021","17 Park Rd North","Moore Park","Sydney","NSW","2021","AUS","Moore Park"
48f144e7-039c-4fc5-b173-667e4a623997,"Sydney Uni Sport – Tennis Courts","Darlington Rd, Darlington NSW 2008","Darlington Rd","Darlington","Sydney","NSW","2008","AUS","Darlington"
81a009b7-2071-4aac-8630-d3e062036984,"Tauranga Bridge Club","252 Ngatai Road, Otūmoetai","252 Ngatai Road","Otumoetai","Tauranga","Bay of Plenty","3110","NZL","Otumoetai"
99026518-a0aa-4fb8-a66a-c7bff5dd1b26,"Tennis World Melbourne Park (National Tennis Centre)","National Tennis Centre (Level 2), Entrance D, Olympic Blvd, Richmond VIC 3001","Olympic Blvd","Melbourne","Melbourne","VIC","3004","AUS","Melbourne"
e9bbd789-5987-4032-bcda-56f45b37f5ae,"Tennis World North Ryde (Ryde Multisport & Racquet Centre)","16-18 Epping Rd, North Ryde NSW 2113","16-18 Epping Rd","North Ryde","Sydney","NSW","2113","AUS","North Ryde"
36a889e1-7b69-45c8-9cf2-ded3932253bb,"Tennis World North Sydney","37 Ridge St, North Sydney NSW 2060","37 Ridge St","North Sydney","Sydney","NSW","2060","AUS","North Sydney"
afb00956-ae8a-458e-bc05-90da76a928e0,"Tennis World Sydney Olympic Park","2 Rod Laver Dr, Sydney Olympic Park NSW 2127","2 Rod Laver Dr","Sydney Olympic Park","Sydney","NSW","2127","AUS","Sydney Olympic Park"
7d134708-cb39-4161-803f-c82cb989cb3a,"The Gap Tennis Club","200 Settlement Rd, The Gap QLD 4061","200 Settlement Rd","The Gap","Brisbane","QLD","4061","AUS","The Gap"
c6002fb5-f86a-4097-9467-73b4cc0c8479,"The Glade Reserve Tennis Courts (KRG)","Glade Ave, Wahroonga NSW 2076","Glade Ave","Wahroonga","Sydney","NSW","2076","AUS","Wahroonga"
