id,name,address,city,derived_suburb,state,country,booking_url,city_looks_like_street
b28aa17b-73e5-41b4-931c-3844610fd6d7,"Doncaster Tennis Club","802 Doncaster Rd (enter via Athenaeum Way), Doncaster VIC","Doncaster","Doncaster","VIC","Australia","play.tennis.com.au/doncastertennisclub/Booking/BookByDate",false
336b6ad1-15a6-4653-98ce-fbf5ec4da6dd,"Donvale Tennis Club","36–82 Mitcham Rd, Donvale VIC","Donvale","Donvale","VIC","Australia","play.tennis.com.au/court-hire/DonvaleTennisClub",false
2cd6ea5f-739c-47c3-ac13-f7b9144d9439,"Doutta Galla Tennis Club","19–27 Royal Ave (Vin Jervis Reserve), Essendon North VIC","Essendon North","Essendon North","VIC","Australia","play.tennis.com.au/court-hire/DouttaGallaTennisClub",false
cf07a2c0-213c-4407-925d-2e604243f8f0,"East Preston Park Tennis Club","46 Newton St (T.A. Cochrane Reserve), Preston VIC","46 Newton St (T.A. Cochrane Reserve)","46 Newton St (T.A. Cochrane Reserve)","VIC","Australia","https://play.tennis.com.au/eastprestonparktennisclub",true
70e6ceba-55bd-4398-9c2a-c493e162372f,"Eastern Indoor Pickleball Club (Knoxfield)","1642 Ferntree Gully Rd, Knoxfield VIC","Knoxfield","Knoxfield","VIC","Australia","easternindoorpickleballclub.playbypoint.com",false
c42188a5-4a70-4be3-a7db-db943ce46d40,"Easton Park","Grove Street, Balmain NSW 2041","Balmain","Balmain","NSW","Australia","https://www.innerwest.nsw.gov.au/easton-park",false
25625899-1da4-4f87-a314-932a2496b237,"Eastside Tennis Centre","1 Court Avenue, Kingsford NSW 2032","Kingsford","Kingsford","NSW","Australia","https://www.tennisvenues.com.au/booking/eastside-tennis-centre",false
5a51975c-8972-4607-a521-af01bf0ee7c0,"Edgeworth Street Soccer Grounds","Corner Edgeworth & Bligh St, Warrane TAS 7018","Corner Edgeworth & Bligh St","Corner Edgeworth & Bligh St","TAS","Australia","https://www.ccc.tas.gov.au/explore/sportsgrounds-for-hire/",true
5f1ac2ae-46e0-484c-9e95-36483f0e4333,"Elphin Sports Centre","Racecourse Crescent, Launceston TAS 7250","Launceston","Launceston","TAS","Australia","https://www.elphinsportscentre.org.au/",false
b1dec29f-b73c-42d5-a843-03b43408f174,"Elsternwick Park Tennis & Pickleball Centre","464 St Kilda St, Brighton VIC","464 St Kilda St","St Kilda St","VIC","Australia","https://www.bayside.vic.gov.au/",true
81ca3c2a-d82f-42a1-8dbc-c39fc1bbc97f,"Erskineville Oval","Bridge Street, Erskineville NSW 2043","Erskineville","Erskineville","NSW","Australia","https://www.cityofsydney.nsw.gov.au/sports-facility-booking-services/book-sports-field",false
1adbe3d0-e85c-487f-9e48-c44eb732cf75,"Essendon Tennis Club","Clifton Park Reserve, Batman St, Essendon VIC 3040","Batman St","Batman St","VIC","Australia","https://play.tennis.com.au/court-hire/EssendonTennisClub",true
c407d17f-7d68-41c1-affc-56adee3040f4,"Fawkner Park Tennis Centre","65 Toorak Rd West, South Yarra VIC 3141","65 Toorak Rd West","65 Toorak Rd West","VIC","Australia","https://www.victennisacademy.com.au/book-a-court-fawkner-park/",true
aeef0f27-ce7b-4ab1-8e0a-f2424270fbb1,"Federal Park","Chapman Road, Annandale NSW 2038","Annandale","Annandale","NSW","Australia","https://www.cityofsydney.nsw.gov.au/sports-facility-booking-services/book-sports-field",false
af2e7203-0141-4104-a57a-6963fa21f865,"Fitzroy Tennis Club (Edinburgh Gardens)","100 St Georges Rd, Fitzroy North VIC","Fitzroy North","Fitzroy North","VIC","Australia","play.tennis.com.au/court-hire/FitzroyTennisClub",false
9206156a-2ae1-4c70-8408-2a8df4508e33,"Five Dock & Concord Oval Recreation Centres – Futsal","Five Dock / Concord NSW","Five Dock / Concord NSW","Five Dock / Concord NSW","NSW","Australia","https://www.canadabay.nsw.gov.au/recreation-centres",false
2de8017d-e9da-4807-b696-dfd91aa8d371,"Five Dock Leisure Centre","93 Park Road, Five Dock NSW 2046","Five Dock","Five Dock","NSW","Australia","https://www.fdlc.com.au/",false
f87a20c9-529b-47a2-8952-c979d671a833,"Five Dock Park Tennis Centre","Park Road, Five Dock NSW 2046","Five Dock","Five Dock","NSW","Australia","https://www.tennisvenues.com.au/booking/five-dock-tc",false
a4bf29c0-7ff3-4016-9040-fb32422743da,"Flagstaff Gardens Tennis Courts","309–311 William St, West Melbourne VIC","309–311 William St","– William St","VIC","Australia","https://activemelbourne.ymca.org.au/",true
4e089fb2-e0ce-4da1-9235-4f29062bf12b,"Football Queensland - Meakin Park","187 Meakin Rd, Slacks Creek QLD 4127","187 Meakin Rd","Meakin Rd","QLD","Australia","https://footballqueensland.com.au/facilities/",true
b64945c6-8ceb-4bdf-b1a9-01942d26399f,"Football Queensland - Nudgee Recreation Reserve","290 Elliott Rd, Nudgee QLD 4014","290 Elliott Rd","Elliott Rd","QLD","Australia","https://footballqueensland.com.au/facilities/",true
44f180b9-7ae3-4088-a02a-885fbad10df5,"Fraser Fives – Sydney Portugal Community Club","100 Marrickville Rd, Marrickville NSW 2204","100 Marrickville Rd","Marrickville Rd","NSW","Australia","https://fraserfives.spawtz.com/",true
bd7a095a-23f8-4a71-ad9d-c92ac168833f,"Fremantle Lawn Tennis Club","Fremantle WA","Fremantle WA","Fremantle WA","WA","Australia","https://www.tennisfreo.com.au/court-hire/",false
44835621-d789-4e68-8196-396f0745fa76,"Futsal Oz – Brunswick","407–409 Victoria St, Brunswick VIC","407–409 Victoria St","– Victoria St","VIC","Australia","https://futsaloz.com/",true
63e11f27-a8bd-4f3a-a80a-800975cd9094,"Futsal Oz – Mt Evelyn","42 Kirkbrae Ave, Mount Evelyn VIC","42 Kirkbrae Ave","42 Kirkbrae Ave","VIC","Australia","https://futsaloz.com/",true
9ae6cf37-d59f-449b-bf7c-b622e5a1eff4,"Futsal Oz – Thomastown","391 Settlement Rd, Thomastown VIC","391 Settlement Rd","Settlement Rd","VIC","Australia","https://futsaloz.com/",true
693799e4-da96-4d0f-a68a-82554705a997,"Geilston Bay Tennis Club","De Bomfords Ln, Geilston Bay TAS 7015","De Bomfords Ln","De Bomfords Ln","TAS","Australia","https://play.tennis.com.au/geilstonbaytennisclub/booking/bookbydate",true
39336ff9-72b2-46d3-bfe8-c6dbc860724d,"Gladstone Park","Darling Street, Balmain NSW 2041","Balmain","Balmain","NSW","Australia","https://www.innerwest.nsw.gov.au/gladstone-park",false
0e4e872e-570d-4007-8640-3105d30d3ab1,"Glenorchy City Tennis Club","8 Alcorso Drive, Berriedale TAS 7011","Berriedale","Berriedale","TAS","Australia","https://play.tennis.com.au/GlenorchyCityTennisClub/booking/bookbydate",false
0eec7d6a-b268-48eb-895b-578b8ac20b1c,"Gordon Recreation Ground Courts (KRG)","Werona Ave, Gordon NSW 2072","Werona Ave","Werona Ave","NSW","Australia","https://krg.bookable.net.au/venues/35/gordon-recreation-ground-tennis-courts",true
8abeb468-e533-4d76-b965-c303382a63eb,"Government House Tasmania Tennis Courts","7 Lower Domain Rd, Hobart TAS 7000","7 Lower Domain Rd","7 Lower Domain Rd","TAS","Australia","https://play.tennis.com.au/governmenthousetasmania/court-hire/book-by-date",true
